brand,average_price
SANDAL KING,11.99
SCOTT JAMES,21.875
SCRUB ZONE,22.994
SEAN JOHN,30.51
SEOBEAN,28.09
SERVUS BY HONEYWELL,62.206
SHANHAI,112.75
SHOES FOR CREWS,56.35
SHREE KRISHNA HANDICRAFT,40.0
SILVERHOOKS,27.99
SKECHERS,68.86727272727272
SOD,2023.425
SOFT SCIENCE,47.45
STARTER,18.05
STC,149.0525
SUN68,75.995
Sabatier,99.95
Saddle Tramp,43.99
Safety Gear,79.180625
Saint Laurent,557.5
Salvatore Ferragamo,245.19714285714286
Samsonite,90.89750000000001
Sandro Moscoloni,135.0
Sansha,80.0
Santoni,565.0
Sanuk,41.07928571428572
Saturday Night Live,45.99
Saucony,59.861666666666665
Savane,75.0
Saxx,14.496666666666664
Scan,122.08
Scape,182.01
Scarpa,158.14166666666665
Schott,100.0
Schutt Sports,79.37
Scott,46.212500000000006
Scully,193.69261904761905
Sea Of Diamonds,2999.34
Sealed Air,60.745000000000005
Sean John,64.99
Seavees,91.094
Sebago,67.47
Sechunk,28.75
Seek Optics,25.246315789473684
Seiko,238.23000000000002
Seirus Innovation,8.603333333333333
Sendra,420.0
Sendra Boots,334.495
Serengeti,205.0936363636364
Servus,62.509473684210526
Sharper Image,5.6899999999999995
Shelby Specialty Gloves,126.675
Shimano,217.4725
Shining Deals Jewelry,15.88
Shock Doctor,6.0
Shoe Goo,7.99
Showa Best Glove,242.42
"Showa Best Glove, Inc",26.9675
Signature by Levi Strauss &amp; Co,30.22
Silhouette,219.99
Silver Elements Charms,15.95
Silver Jeans,90.0
Silver Lilly,29.99
Silvertoe,12.611666666666666
Siviglia,251.29999999999998
Skechers,47.70111111111111
Slippers International,39.65833333333333
Sloggers,18.195
Smart Step,36.51461538461538
SmartWool,70.72
Smiffy's,51.99
Smiffys,31.623333333333335
Smiffy���s,50.03333333333333
Smith & Wesson,20.99
Snickers,65.17
Snickers Next Generation,87.0
So Chic Jewels,36.666666666666664
SockBin,23.99
Sockwell,16.214444444444442
Soft Touch,54.95
SoftScience,55.974000000000004
Sole,99.95
Sonoma,25.0
Sons of Anarchy,49.99
Sons of Intrigue,102.495
Sorel,101.13714285714286
Sourcingmap,7.605
Speedo,17.313333333333333
Spenco,49.72
Sperry,88.73555555555555
Spiewak,21.52
Spiffy Custom Embroidered Caps,14.95
Spinnaker,316.665
Spira,105.63333333333333
Sport,8.95
Sport Wrap,7.95
Spring Step,29.94
Spy,123.47458333333333
Spy Optic,149.0
Spyder,111.975
Stackable Expressions,75.12
Stacy Adams,61.75043478260869
Stafford,48.137142857142855
Stance,10.95
Star Trek,26.990000000000002
Star Wars,27.81
Starter,10.99
Static Footwear,34.95
Steel Blue,192.92000000000002
Stetson,338.99
Steve Madden,40.992000000000004
Stillwater Supply Co.,39.995
Stormy Kromer,132.25
Structure,27.659999999999997
Studio Ink,69.995
